epoch1: acc:85.0%
epoch2: acc:69.245%
epoch3: acc:59.03333333333334%
epoch4: acc:51.89%
epoch5: acc:46.6%
epoch6: acc:42.498333333333335%
epoch7: acc:39.24%
epoch8: acc:36.61125%
epoch9: acc:34.43333333333333%
epoch10: acc:32.603%
epoch11: acc:31.04909090909091%
epoch12: acc:29.7225%
epoch13: acc:28.570769230769233%
epoch14: acc:27.562857142857144%
epoch15: acc:26.674666666666667%
epoch16: acc:25.88%
epoch17: acc:25.166470588235295%
epoch18: acc:24.52166666666667%
epoch19: acc:23.93631578947368%
epoch20: acc:23.3995%
epoch21: acc:22.89666666666667%
epoch22: acc:22.429545454545455%
epoch23: acc:22.0%
epoch24: acc:21.601666666666667%
epoch25: acc:21.2264%
epoch26: acc:20.878076923076925%
epoch27: acc:20.553703703703704%
epoch28: acc:20.252142857142857%
epoch29: acc:19.967586206896552%
epoch30: acc:19.698%
epoch31: acc:19.440967741935484%
epoch32: acc:19.195625%
epoch33: acc:18.97030303030303%
epoch34: acc:18.760294117647057%
epoch35: acc:18.566285714285712%
epoch36: acc:18.38388888888889%
epoch37: acc:18.21054054054054%
epoch38: acc:18.04684210526316%
epoch39: acc:17.8925641025641%
epoch40: acc:17.74425%
epoch41: acc:17.60170731707317%
epoch42: acc:17.462619047619047%
epoch43: acc:17.326976744186044%
epoch44: acc:17.19636363636364%
epoch45: acc:17.070222222222224%
epoch46: acc:16.948478260869564%
epoch47: acc:16.82872340425532%
epoch48: acc:16.711041666666667%
epoch49: acc:16.598367346938776%
epoch50: acc:16.4886%
epoch51: acc:16.381176470588237%
epoch52: acc:16.27596153846154%
epoch53: acc:16.1722641509434%
epoch54: acc:16.069074074074074%
epoch55: acc:15.967818181818183%
epoch56: acc:15.869821428571429%
epoch57: acc:15.77298245614035%
epoch58: acc:15.676724137931034%
epoch59: acc:15.581186440677966%
epoch60: acc:15.483333333333333%
epoch61: acc:15.38672131147541%
epoch62: acc:15.290161290322581%
epoch63: acc:15.195079365079364%
epoch64: acc:15.098749999999999%
epoch65: acc:15.003692307692306%
epoch66: acc:14.909090909090908%
epoch67: acc:14.817611940298509%
epoch68: acc:14.728970588235294%
epoch69: acc:14.642173913043477%
epoch70: acc:14.55557142857143%
epoch71: acc:14.470985915492957%
epoch72: acc:14.386527777777777%
epoch73: acc:14.303561643835616%
epoch74: acc:14.223648648648648%
epoch75: acc:14.146133333333333%
epoch76: acc:14.067631578947367%
epoch77: acc:13.991298701298701%
epoch78: acc:13.916666666666666%
epoch79: acc:13.843544303797467%
epoch80: acc:13.771125000000001%
epoch81: acc:13.7020987654321%
epoch82: acc:13.634878048780488%
epoch83: acc:13.56855421686747%
epoch84: acc:13.504642857142857%
epoch85: acc:13.443176470588236%
epoch86: acc:13.384069767441861%
epoch87: acc:13.326896551724138%
epoch88: acc:13.270000000000001%
epoch89: acc:13.214719101123595%
epoch90: acc:13.161222222222221%
epoch91: acc:13.108901098901098%
epoch92: acc:13.059239130434783%
epoch93: acc:13.011397849462366%
epoch94: acc:12.965638297872339%
epoch95: acc:12.922526315789472%
epoch96: acc:12.880208333333334%
epoch97: acc:12.839896907216493%
epoch98: acc:12.80030612244898%
epoch99: acc:12.76191919191919%
epoch100: acc:12.7246%
